     kx              E+_uu           E+_vv           E+_ww           E+_pp
  6.0000000e+01   1.4710105e-03   7.1988734e-04   1.2573877e-03   8.1015313e-03
  6.0250000e+01   1.4539112e-03   7.1137486e-04   1.2446733e-03   7.9795320e-03
  6.0500000e+01   1.4401202e-03   7.0591492e-04   1.2348141e-03   7.9342496e-03
  6.0750000e+01   1.4221663e-03   6.9993926e-04   1.2181301e-03   7.8380330e-03
  6.1000000e+01   1.4051163e-03   6.9256333e-04   1.2117080e-03   7.7709060e-03
  6.1250000e+01   1.3961280e-03   6.8832664e-04   1.1882434e-03   7.7108983e-03
  6.1500000e+01   1.3769948e-03   6.8559404e-04   1.1808654e-03   7.6264187e-03
  6.1750000e+01   1.3591640e-03   6.7453359e-04   1.1618127e-03   7.5381024e-03
  6.2000000e+01   1.3418934e-03   6.7211899e-04   1.1538351e-03   7.4921679e-03
  6.2250000e+01   1.3304198e-03   6.6861514e-04   1.1428222e-03   7.4527437e-03
  6.2500000e+01   1.3151253e-03   6.5906522e-04   1.1360268e-03   7.3770410e-03
  6.2750000e+01   1.2961216e-03   6.5501512e-04   1.1130629e-03   7.2474989e-03
  6.3000000e+01   1.2798938e-03   6.5143887e-04   1.1084616e-03   7.1811042e-03
  6.3250000e+01   1.2653841e-03   6.4170938e-04   1.0974542e-03   7.0657808e-03
  6.3500000e+01   1.2566121e-03   6.3916712e-04   1.0862001e-03   7.0305198e-03
  6.3750000e+01   1.2377669e-03   6.3503219e-04   1.0704958e-03   7.0270624e-03
  6.4000000e+01   1.2219303e-03   6.2761024e-04   1.0618885e-03   6.8959750e-03
  6.4250000e+01   1.2045992e-03   6.1963521e-04   1.0480505e-03   6.8506522e-03
  6.4500000e+01   1.1975819e-03   6.1692382e-04   1.0411534e-03   6.7691104e-03
  6.4750000e+01   1.1846364e-03   6.1283537e-04   1.0264105e-03   6.6784368e-03
  6.5000000e+01   1.1689574e-03   6.0712844e-04   1.0179104e-03   6.6325923e-03
